track,frame_idx,instance.score,nose.x,nose.y,nose.score,left_ear.x,left_ear.y,left_ear.score,right_ear.x,right_ear.y,right_ear.score,neck.x,neck.y,neck.score,center.x,center.y,center.score,left_flank.x,left_flank.y,left_flank.score,right_flank.x,right_flank.y,right_flank.score,tail_base.x,tail_base.y,tail_base.score,tail_center.x,tail_center.y,tail_center.score,tail_tip.x,tail_tip.y,tail_tip.score
,34,7.548854828,656.0038452,211.9847412,0.460752934,632.0015259,278.0216064,0.50023675,569.9671021,245.9915009,1.073786974,592.0171509,264.0141907,1.097290277,572.0077515,313.9676819,0.840007246,596.0038452,336.0001221,0.752843082,531.9921875,293.9606018,0.698876619,544.0061646,348.0177917,0.829548359,502.006958,392.0080872,0.757994115,416.0278931,492.0280457,0.537518024
,35,7.520107269,656.0122681,211.9874115,0.458086371,632.0029907,278.0193176,0.498479396,569.9672852,245.99263,1.07091105,592.0182495,264.0141907,1.093325138,572.0108643,313.9641724,0.841502845,596.0056152,335.9992065,0.75196588,531.97229,293.9510193,0.685257912,544.0100708,348.0159302,0.829529166,502.0091248,392.0069275,0.7578125,416.0263367,493.9793091,0.533236802
,36,7.511293411,655.9911499,208.0135193,0.460534751,628.0302124,213.9776001,0.699454308,565.9691162,249.971344,1.09301281,590.0122681,266.0148315,1.130944371,569.9855347,313.9639893,0.723922014,593.9682617,337.9448853,0.673777103,531.9630737,293.9709167,0.63605994,543.9581299,348.0429077,0.776916265,501.9989929,392.006134,0.769515932,416.0302734,492.0187073,0.547155917
,37,7.337773323,655.9526978,207.9976501,0.514738202,628.0268555,214.0477295,0.742021501,563.9901123,249.9646149,1.085377097,589.9924316,266.0023804,1.137434959,568.0266113,312.0036316,0.642640114,591.9954224,337.9916687,0.612314582,530.0328369,293.9971619,0.565459788,543.9517212,349.9954224,0.709443212,502.0211182,392.0256042,0.781094253,416.0341187,492.0205688,0.547249794
,38,6.804806232,651.9661255,218.007019,0.523979366,625.9551392,222.0189362,0.65382576,561.9995117,254.0061188,1.03533721,592.0119019,268.0165405,1.04767096,568.0543213,312.0031738,0.531993926,589.9706421,338.036499,0.527536631,543.9726563,286.0112305,0.506917715,542.0307617,349.9875488,0.661987484,501.9900208,393.9953918,0.775548995,417.9551086,493.9844055,0.540007949
,39,7.257145405,656.0320435,213.9919434,0.553582072,623.973999,286.0162659,0.731253147,565.9661255,252.0084839,1.065615296,595.9748535,266.0028076,1.09790206,570.0062256,312.0285645,0.605712473,591.9631348,339.8958435,0.557280898,539.9708252,288.0397644,0.599462211,543.9884033,349.9998474,0.71621877,500.0129089,396.0019226,0.77917701,417.9581909,493.9766541,0.55094111
,40,7.40266943,664.0405884,218.0109863,0.576357901,638.005188,213.9866791,0.63036412,569.9654541,250.0083923,1.075270176,596.0072021,266.0245361,1.065795183,570.0496216,313.9737549,0.696649075,593.9901733,338.0145874,0.648114324,532.0429688,291.9954529,0.595049322,545.9188232,350.0325012,0.788533807,501.9830017,395.9873962,0.75639683,417.9634399,493.9787903,0.570138812
,41,7.384258747,667.9990845,220.0016937,0.626322746,635.9745483,279.9257813,0.425059229,572.0004883,250.0070343,1.082509398,596.0083008,269.9898987,1.023695827,572.0216675,313.9913025,0.770619869,596.0098877,337.9427185,0.734295487,532.0192261,291.9583435,0.577770174,545.9525146,350.0298767,0.816781342,501.9803162,395.992981,0.758193076,417.9644775,493.9757996,0.569011867
,42,7.745459557,665.9821167,212.032486,0.595309734,636.0023804,282.0108948,0.620912492,575.9787598,246.036087,1.123965025,601.986084,268.0084229,1.030717492,575.9858398,313.9833069,0.857931793,600.0020752,335.9794617,0.77091229,531.9700317,290.0201416,0.542893171,546.0202637,350.0096741,0.869423151,501.980072,395.994812,0.758217871,417.9656677,492.0202942,0.57517606
,43,7.739858627,665.9847412,212.0335236,0.595533073,636.0032349,282.0116577,0.616971731,575.9788818,246.0352478,1.124717355,601.9859009,268.0089417,1.030166388,575.9868164,313.9844666,0.857886136,600.0029297,335.9799194,0.772214115,531.9691772,290.0238953,0.541965604,546.0187988,350.0126953,0.870343685,501.980011,395.9958191,0.760384619,417.9620667,492.0195313,0.569675744
