track,frame_idx,instance.score,nose.x,nose.y
,425,8.651657104,377.9793091,345.9829407
,426,8.119697571,351.9730225,346.0136414
,427,8.329859734,328.0149231,348.0265503
,428,7.908164978,300.0095825,353.9920654
,429,7.563722134,283.9739075,351.9957275
,430,8.273525238,257.967041,361.9751892
,431,8.626232147,238.0068359,365.9884338
,432,8.387173653,225.9958801,363.9999695
,433,8.267161369,211.9632111,365.9857483
,434,7.628469944,194.0219269,365.9848633
,435,7.612995148,186.0325928,368.0176392
,436,7.852739334,174.0180511,366.013916
,437,8.225349426,168.0023346,365.9804077
,438,7.607117653,166.0074158,359.9972229
,439,7.523793221,163.9861603,357.9899597
,440,7.386685848,163.9915161,366.0133057
,441,7.271053791,162.0161133,378.0166016
,442,7.569990158,156.0005493,386.0068359
,443,7.751187325,148.0135345,393.9982605
,444,7.806647301,151.9979095,410.0044556
,445,7.825146675,151.9971924,410.0038147
,446,7.924143791,161.9854584,440.0122986
,447,8.080450058,157.999176,453.9942322
,448,7.769306183,149.9967499,462.0233459
,449,7.368539333,144.0205078,467.9938049
,450,8.102399826,144.006424,468.0162048
,451,8.035824776,138.0024261,473.9836426
,452,7.412361145,130.0099792,478.0036316
,453,7.460937023,130.0082703,478.0061646
,454,7.265602589,127.9885559,476.0233459
,455,7.61303091,123.9941254,476.0057678
,456,7.450933456,114.0143967,477.9858093
,457,7.538883209,112.0030289,477.9956665
,458,7.410038948,107.9786911,477.9863892
,459,7.256392956,107.9827423,477.9747314
,460,7.399754047,107.9721527,477.9889221
,461,7.395233154,107.97686,477.9923401
,462,7.269840717,106.0314636,482.0309143
,463,7.386712074,108.0314331,484.0093689
,464,7.351094723,106.0098038,484.0014954
,465,7.009613037,104.0301895,483.9740601
,466,7.22574091,,
,467,6.824849606,104.019165,487.9971008
,468,6.669958591,104.0366211,491.9801025
,469,6.702520847,107.9697266,495.9871216
,470,6.79591608,108.0007324,497.9962769
,471,6.778448582,108.0235748,495.99646
,472,6.813551426,110.0415268,495.9645081
,473,6.834362507,114.0026169,493.9946899
,474,6.899710178,114.0245132,495.9741821
,475,6.806932926,114.0125885,497.9884033
,476,6.805437565,114.0270691,497.9978027
,477,6.737004757,115.9986191,498.0004578
,478,6.741424084,116.0050735,498.0247803
,479,6.762031078,114.0424271,497.9674377
,480,6.679094791,114.0228119,495.9722595
,481,6.747032166,112.0254364,494.0102539
,482,6.789197922,110.0288544,494.0178528
,483,6.732020378,107.9816513,496.0190125
,484,6.817173004,106.0008621,497.9717712
,485,6.885005951,106.0103607,497.9872437
,486,6.9176054,106.0139542,498.0094299
,487,6.964076519,108.0161133,497.9598694
,488,7.031949997,109.9739685,499.985199
,489,7.243703365,112.0082169,503.9880981
,490,7.159636497,116.0219727,507.9961243
,491,7.348874569,119.9858475,510.000824
,492,7.695472717,124.0005188,512.0006104
,493,7.694741249,123.9995804,511.9985352
,494,7.454885483,132.0083618,516.0014038
,495,7.438685894,131.9844666,512.0115356
,496,7.302211761,131.9812775,509.9967041
,497,7.30505991,132.0030823,510.0246582
,498,7.719043732,150.0006409,517.9954224
,499,7.714866161,156.0165253,524.0131226
,500,7.792969704,156.0170288,524.0109253
,501,7.458455563,162.0018158,526.0100708
,502,7.225981236,171.9996033,530.0122681
,503,7.777575493,177.9868774,534.0071411
,504,7.957793713,183.9721222,537.9732666
,505,7.932128429,183.9921875,538.0063477
,506,7.3147645,181.9969177,543.9830933
,507,7.104122162,180.0022125,547.994873
,508,7.138547897,180.0029297,547.9924316
,509,7.356863022,160.0456085,544.0388184
,510,7.000605583,164.0031738,544.0028687
,511,7.105027676,177.9833832,534.1188965
,512,7.039170742,165.9730225,564.0036621
,513,7.156841278,173.9898376,572.008728
,514,7.01662159,170.0100098,569.9769287
,515,7.062242508,173.9967957,572.0092773
,516,7.175028324,183.9666748,573.9866943
,517,7.089354992,183.9972076,568.0286865
,518,6.885404587,186.0163269,561.9981079
,519,7.192374706,246.0009613,514.0497437
,520,6.748926163,244.0287018,511.9588623
,521,6.839107513,169.9793091,530.0025024
,522,7.348693848,239.9833832,500.0005798
,523,6.872908115,238.0181274,498.009613
,524,6.693258286,238.0023041,497.9877319
,525,7.075840473,246.0004883,487.9994202
,526,7.756538391,271.989624,472.0168457
,527,7.958865166,286.0055542,469.9780884
,528,7.785936832,303.9857788,464.0023804
,529,7.586584568,325.9818726,462.0378723
,530,7.834869385,345.9960327,461.9831238
,531,8.261726379,365.9674683,460.0016174
,532,7.643540859,377.9917297,458.0346069
,533,7.204330444,378.0032349,460.007843
,534,7.581559181,377.9970703,461.9804382
,535,8.09120369,380.0324707,462.028595
,536,7.94794035,381.9964905,460.015686
,537,7.889066696,387.985199,460.009552
,538,8.231874466,411.9734497,464.0252075
,539,7.906788826,422.0131531,469.9817505
,540,7.891673565,422.0121765,469.9810486
,541,8.094442368,436.0056763,473.9881592
,542,7.168105125,458.0245972,487.9845276
,543,7.719173431,468.0043335,493.9759216
,544,7.048316479,474.0221252,499.9829407
,545,7.174014568,484.0177002,502.0007935
,546,7.308999062,489.9855957,511.9945068
,547,7.822674274,494.0016174,521.9924316
,548,7.828475952,494.0025024,521.9921875
,549,7.888974667,499.9899902,524.00177
,550,7.86217165,503.9963074,523.9802246
,551,7.67848587,515.9869995,526.0014648
,552,7.324334145,519.9962769,529.980896
,553,7.630046844,524.0047607,529.9856567
,554,7.600979805,528.0061035,530.0211792
,555,7.616245747,527.9963989,531.9804688
,556,7.578556061,530.0117188,531.9897461
,557,7.547029018,533.9797974,533.9874878
,558,7.657238483,532.0078735,537.998291
,559,7.249229431,530.0113525,541.996521
,560,7.402240276,530.015564,543.994751
,561,7.252040863,527.9832153,550.0133667
,562,6.763358116,527.980957,555.989502
,563,6.743465424,522.015564,557.9891357
,564,7.035653591,511.9928589,564.0154419
,565,6.605098724,518.0037231,563.9801025
,566,6.462326527,518.0036011,570.0124512
,567,6.516373158,522.0045166,581.9727783
,568,6.484770775,533.9918823,585.9949951
,569,7.019227028,534.0018921,590.0108032
,570,7.169056892,541.9789429,583.9907227
